Ticker,Name,Sector,Month,Return%
ARM,Arm Holdings,Chip,2025-07,-12.59
ARM,Arm Holdings,Chip,2025-08,-2.17
ARM,Arm Holdings,Chip,2025-09,2.3
ARM,Arm Holdings,Chip,2025-10,20.02
ARM,Arm Holdings,Chip,2025-11,-20.17
ARM,Arm Holdings,Chip,2025-12,-19.36
ARM,Arm Holdings,Chip,2026-01,-3.61
ARM,Arm Holdings,Chip,2026-02,20.97
ARM,Arm Holdings,Chip,2026-03,18.7
ARM,Arm Holdings,Chip,2026-04,39.03
ARM,Arm Holdings,Chip,2026-05,1.11
ASML,ASML,Chip,2025-06,8.77
ASML,ASML,Chip,2025-07,-13.09
ASML,ASML,Chip,2025-08,6.9
ASML,ASML,Chip,2025-09,30.36
ASML,ASML,Chip,2025-10,9.61
ASML,ASML,Chip,2025-11,0.07
ASML,ASML,Chip,2025-12,0.93
ASML,ASML,Chip,2026-01,33.01
ASML,ASML,Chip,2026-02,2.07
ASML,ASML,Chip,2026-03,-8.94
ASML,ASML,Chip,2026-04,9.18
ASML,ASML,Chip,2026-05,8.81
TSLA,Tesla,NewEnergy,2025-06,-8.31
TSLA,Tesla,NewEnergy,2025-07,-2.96
TSLA,Tesla,NewEnergy,2025-08,8.3
TSLA,Tesla,NewEnergy,2025-09,33.2
TSLA,Tesla,NewEnergy,2025-10,2.66
TSLA,Tesla,NewEnergy,2025-11,-5.78
TSLA,Tesla,NewEnergy,2025-12,4.54
TSLA,Tesla,NewEnergy,2026-01,-4.29
TSLA,Tesla,NewEnergy,2026-02,-6.48
TSLA,Tesla,NewEnergy,2026-03,-7.64
TSLA,Tesla,NewEnergy,2026-04,2.66
TSLA,Tesla,NewEnergy,2026-05,16.61
ENPH,Enphase Energy,NewEnergy,2025-06,-4.2
ENPH,Enphase Energy,NewEnergy,2025-07,-18.39
ENPH,Enphase Energy,NewEnergy,2025-08,16.5
ENPH,Enphase Energy,NewEnergy,2025-09,-6.13
ENPH,Enphase Energy,NewEnergy,2025-10,-13.79
ENPH,Enphase Energy,NewEnergy,2025-11,-5.44
ENPH,Enphase Energy,NewEnergy,2025-12,11.09
ENPH,Enphase Energy,NewEnergy,2026-01,15.38
ENPH,Enphase Energy,NewEnergy,2026-02,14.31
ENPH,Enphase Energy,NewEnergy,2026-03,-10.55
ENPH,Enphase Energy,NewEnergy,2026-04,-12.83
ENPH,Enphase Energy,NewEnergy,2026-05,14.23
SEDG,SolarEdge,NewEnergy,2025-06,14.22
SEDG,SolarEdge,NewEnergy,2025-07,25.78
SEDG,SolarEdge,NewEnergy,2025-08,31.8
SEDG,SolarEdge,NewEnergy,2025-09,9.4
SEDG,SolarEdge,NewEnergy,2025-10,-5.16
SEDG,SolarEdge,NewEnergy,2025-11,4.1
SEDG,SolarEdge,NewEnergy,2025-12,-21.02
SEDG,SolarEdge,NewEnergy,2026-01,7.28
SEDG,SolarEdge,NewEnergy,2026-02,14.38
SEDG,SolarEdge,NewEnergy,2026-03,44.21
SEDG,SolarEdge,NewEnergy,2026-04,-16.04
SEDG,SolarEdge,NewEnergy,2026-05,-2.5
FSLR,First Solar,NewEnergy,2025-06,4.72
FSLR,First Solar,NewEnergy,2025-07,5.55
FSLR,First Solar,NewEnergy,2025-08,11.71
FSLR,First Solar,NewEnergy,2025-09,12.98
FSLR,First Solar,NewEnergy,2025-10,21.04
FSLR,First Solar,NewEnergy,2025-11,2.24
FSLR,First Solar,NewEnergy,2025-12,-4.28
FSLR,First Solar,NewEnergy,2026-01,-13.67
FSLR,First Solar,NewEnergy,2026-02,-12.56
FSLR,First Solar,NewEnergy,2026-03,0.03
FSLR,First Solar,NewEnergy,2026-04,2.35
FSLR,First Solar,NewEnergy,2026-05,15.54
RUN,Sunrun,NewEnergy,2025-06,9.21
RUN,Sunrun,NewEnergy,2025-07,25.43
RUN,Sunrun,NewEnergy,2025-08,55.65
RUN,Sunrun,NewEnergy,2025-09,8.27
RUN,Sunrun,NewEnergy,2025-10,20.07
RUN,Sunrun,NewEnergy,2025-11,-2.46
RUN,Sunrun,NewEnergy,2025-12,-9.14
RUN,Sunrun,NewEnergy,2026-01,3.26
RUN,Sunrun,NewEnergy,2026-02,-30.26
RUN,Sunrun,NewEnergy,2026-03,2.34
RUN,Sunrun,NewEnergy,2026-04,-6.12
RUN,Sunrun,NewEnergy,2026-05,13.67
PLUG,Plug Power,NewEnergy,2025-06,69.32
PLUG,Plug Power,NewEnergy,2025-07,0.67
PLUG,Plug Power,NewEnergy,2025-08,4.67
PLUG,Plug Power,NewEnergy,2025-09,48.41
PLUG,Plug Power,NewEnergy,2025-10,15.45
PLUG,Plug Power,NewEnergy,2025-11,-25.28
PLUG,Plug Power,NewEnergy,2025-12,-1.99
PLUG,Plug Power,NewEnergy,2026-01,7.61
PLUG,Plug Power,NewEnergy,2026-02,-15.57
PLUG,Plug Power,NewEnergy,2026-03,26.26
PLUG,Plug Power,NewEnergy,2026-04,38.5
PLUG,Plug Power,NewEnergy,2026-05,12.46
BE,Bloom Energy,NewEnergy,2025-06,29.51
BE,Bloom Energy,NewEnergy,2025-07,56.31
BE,Bloom Energy,NewEnergy,2025-08,41.59
BE,Bloom Energy,NewEnergy,2025-09,59.75
BE,Bloom Energy,NewEnergy,2025-10,56.27
BE,Bloom Energy,NewEnergy,2025-11,-17.34
BE,Bloom Energy,NewEnergy,2025-12,-20.46
BE,Bloom Energy,NewEnergy,2026-01,74.21
BE,Bloom Energy,NewEnergy,2026-02,2.84
BE,Bloom Energy,NewEnergy,2026-03,-12.96
BE,Bloom Energy,NewEnergy,2026-04,109.14
